Simulation Topology 1
___________________________
[1]				[6]		
[4]				[7]		
[5]				[4]		
[7]				[3]		
[7]				[0]		
[4]				[2]		
[8]				[5]		
[6]				[10]		
[9]				[11]		
[8]				[8]		
[0]				[15]		
[1]				[11]		
[0]				[8]		
[5]				[13]		
[0]				[13]		
[8]				[17]		
[7]				[19]		
[0]				[19]		
[3]				[17]		
[3]				[22]		
[6]				[23]		
[9]				[23]		
[0]				[23]		
[7]				[26]		
[7]				[28]		
[2]				[28]		
[6]				[30]		
[3]				[30]		
[2]				[35]		
[8]				[35]		
[0]				[33]		
[8]				[39]		
[8]				[47]		
[8]				[43]		
[0]				[44]		
[4]				[41]		
[7]				[51]		
[3]				[55]		
[6]				[60]		
[9]				[57]		
___________________________
Simulation Topology [1:1]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
___________________________
Simulation Topology [1:14]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  0	 | 	6	 | 	7,07
  0	 | 	11	 | 	5,00
  1	 | 	3	 | 	5,00
  1	 | 	4	 | 	7,62
  2	 | 	4	 | 	4,47
  2	 | 	5	 | 	2,24
  2	 | 	25	 | 	24,19
  4	 | 	15	 | 	17,03
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
  2	 | 	3	 | 	2,24
___________________________
Simulation Topology [1:15]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  0	 | 	6	 | 	7,07
  0	 | 	11	 | 	5,00
  1	 | 	3	 | 	5,00
  1	 | 	4	 | 	7,62
  2	 | 	4	 | 	4,47
  2	 | 	5	 | 	2,24
  2	 | 	25	 | 	24,19
  4	 | 	15	 | 	17,03
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
  2	 | 	3	 | 	2,24
  24	 | 	27	 | 	4,47
___________________________
Simulation Topology [1:16]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  0	 | 	6	 | 	7,07
  0	 | 	11	 | 	5,00
  1	 | 	3	 | 	5,00
  1	 | 	4	 | 	7,62
  2	 | 	4	 | 	4,47
  2	 | 	5	 | 	2,24
  2	 | 	25	 | 	24,19
  4	 | 	15	 | 	17,03
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
  2	 | 	3	 | 	2,24
  24	 | 	27	 | 	4,47
  1	 | 	10	 | 	8,94
___________________________
Simulation Topology [1:17]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  0	 | 	6	 | 	7,07
  0	 | 	11	 | 	5,00
  1	 | 	3	 | 	5,00
  1	 | 	4	 | 	7,62
  2	 | 	4	 | 	4,47
  2	 | 	5	 | 	2,24
  2	 | 	25	 | 	24,19
  4	 | 	15	 | 	17,03
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
  2	 | 	3	 | 	2,24
  24	 | 	27	 | 	4,47
  1	 | 	10	 | 	8,94
  37	 | 	39	 | 	6,32
___________________________
Simulation Topology [1:18]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  0	 | 	6	 | 	7,07
  0	 | 	11	 | 	5,00
  1	 | 	3	 | 	5,00
  1	 | 	4	 | 	7,62
  2	 | 	4	 | 	4,47
  2	 | 	5	 | 	2,24
  2	 | 	25	 | 	24,19
  4	 | 	15	 | 	17,03
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
  2	 | 	3	 | 	2,24
  24	 | 	27	 | 	4,47
  1	 | 	10	 | 	8,94
  37	 | 	39	 | 	6,32
  10	 | 	13	 | 	5,39
___________________________
Simulation Topology [1:19]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  0	 | 	6	 | 	7,07
  0	 | 	11	 | 	5,00
  1	 | 	3	 | 	5,00
  1	 | 	4	 | 	7,62
  2	 | 	4	 | 	4,47
  2	 | 	5	 | 	2,24
  2	 | 	25	 | 	24,19
  4	 | 	15	 | 	17,03
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
  2	 | 	3	 | 	2,24
  24	 | 	27	 | 	4,47
  1	 | 	10	 | 	8,94
  37	 | 	39	 | 	6,32
  10	 | 	13	 | 	5,39
  1	 | 	11	 | 	5,00
___________________________
Simulation Topology [1:20]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  0	 | 	6	 | 	7,07
  0	 | 	11	 | 	5,00
  1	 | 	3	 | 	5,00
  1	 | 	4	 | 	7,62
  2	 | 	4	 | 	4,47
  2	 | 	5	 | 	2,24
  2	 | 	25	 | 	24,19
  4	 | 	15	 | 	17,03
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
  2	 | 	3	 | 	2,24
  24	 | 	27	 | 	4,47
  1	 | 	10	 | 	8,94
  37	 | 	39	 | 	6,32
  10	 | 	13	 | 	5,39
  1	 | 	11	 | 	5,00
  24	 | 	28	 | 	8,60
___________________________
Simulation Topology [1:21]
___________________________
From 	  To 		Length
___________________________
  0	 | 	3	 | 	6,71
  0	 | 	6	 | 	7,07
  0	 | 	11	 | 	5,00
  1	 | 	3	 | 	5,00
  1	 | 	4	 | 	7,62
  2	 | 	4	 | 	4,47
  2	 | 	5	 | 	2,24
  2	 | 	25	 | 	24,19
  4	 | 	15	 | 	17,03
  5	 | 	6	 | 	5,00
  5	 | 	23	 | 	24,19
  6	 | 	29	 | 	30,00
  6	 | 	30	 | 	29,12
  7	 | 	8	 | 	3,16
  7	 | 	10	 | 	7,81
  7	 | 	11	 | 	5,10
  8	 | 	10	 | 	9,85
  8	 | 	12	 | 	9,49
  8	 | 	24	 | 	17,12
  9	 | 	12	 | 	8,00
  9	 | 	13	 | 	5,83
  9	 | 	37	 | 	47,27
  11	 | 	14	 | 	2,24
  11	 | 	35	 | 	30,15
  12	 | 	38	 | 	52,35
  13	 | 	14	 | 	5,00
  14	 | 	16	 | 	9,22
  14	 | 	38	 | 	47,38
  15	 | 	20	 | 	6,32
  15	 | 	22	 | 	10,00
  16	 | 	19	 | 	5,00
  16	 | 	22	 | 	8,06
  17	 | 	20	 | 	7,21
  17	 | 	21	 | 	9,85
  17	 | 	28	 | 	16,12
  18	 | 	19	 | 	5,00
  18	 | 	21	 | 	8,49
  20	 | 	34	 | 	21,84
  20	 | 	39	 | 	34,13
  23	 | 	24	 | 	2,00
  23	 | 	27	 | 	5,66
  23	 | 	33	 | 	17,03
  24	 | 	26	 | 	2,24
  25	 | 	26	 | 	4,47
  25	 | 	27	 | 	2,24
  28	 | 	29	 | 	6,00
  28	 | 	31	 | 	7,21
  29	 | 	30	 | 	8,25
  30	 | 	31	 | 	10,00
  32	 | 	34	 | 	8,54
  32	 | 	35	 | 	7,21
  33	 | 	34	 | 	8,06
  33	 | 	35	 | 	4,47
  36	 | 	37	 | 	5,66
  36	 | 	38	 | 	9,06
  38	 | 	39	 | 	4,24
  17	 | 	18	 | 	3,61
  1	 | 	12	 | 	4,12
  7	 | 	9	 | 	2,83
  3	 | 	6	 | 	2,24
  10	 | 	22	 | 	8,00
  32	 | 	36	 | 	4,12
  22	 | 	26	 | 	9,22
  26	 | 	27	 | 	3,00
  29	 | 	31	 | 	4,00
  25	 | 	30	 | 	5,39
  32	 | 	33	 | 	4,00
  13	 | 	18	 | 	4,47
  2	 | 	3	 | 	2,24
  24	 | 	27	 | 	4,47
  1	 | 	10	 | 	8,94
  37	 | 	39	 | 	6,32
  10	 | 	13	 | 	5,39
  1	 | 	11	 | 	5,00
  24	 | 	28	 | 	8,60
  21	 | 	22	 | 	9,00
___________________________
